"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2015-2016","124","Roanoke City","220","Roanoke Academy For Mathematics & Science Elementary","119","47","65","67","59","61","53"," "," "," "," "," "," "," ","471"," ","471"
"2015-2016","124","Roanoke City","320","Round Hill Elementary","53","105","89","123","88","88","80"," "," "," "," "," "," "," ","626"," ","626"
"2015-2016","124","Roanoke City","230","Stonewall Jackson Middle"," "," "," "," "," "," "," ","202","202","190"," "," "," "," ","594"," ","594"
"2015-2016","124","Roanoke City","70","Virginia Heights Elementary","53","61","56","60","49","45","36"," "," "," "," "," "," "," ","360"," ","360"
"2015-2016","124","Roanoke City","90","Wasena Elementary"," ","34","44","51","48","30","38"," "," "," "," "," "," "," ","245"," ","245"
"2015-2016","124","Roanoke City","350","Westside Elementary","36","151","122","141","136","123","114"," "," "," "," "," "," "," ","823"," ","823"
"2015-2016","124","Roanoke City","400","William Fleming High"," "," "," "," "," "," "," "," "," "," ","465","439","368","310","1,582","2","1,584"
"2015-2016","124","Roanoke City","150","Woodrow Wilson Middle"," "," "," "," "," "," "," ","160","145","157"," "," "," "," ","462"," ","462"
"2015-2016","80","Roanoke County","420","Back Creek Elementary","12","47","41","46","60","54","51"," "," "," "," "," "," "," ","311"," ","311"
"2015-2016","80","Roanoke County","752","Bonsack Elementary","19","60","53","54","71","64","60"," "," "," "," "," "," "," ","381"," ","381"
"2015-2016","80","Roanoke County","180","Burlington Elementary","18","72","80","75","71","68","77"," "," "," "," "," "," "," ","461"," ","461"
"2015-2016","80","Roanoke County","560","Cave Spring Elementary","16","77","77","69","80","78","90"," "," "," "," "," "," "," ","487"," ","487"
"2015-2016","80","Roanoke County","470","Cave Spring High"," "," "," "," "," "," "," "," "," "," ","267","245","263","248","1,023"," ","1,023"
"2015-2016","80","Roanoke County","620","Cave Spring Middle"," "," "," "," "," "," "," ","242","253","273"," "," "," "," ","768"," ","768"
"2015-2016","80","Roanoke County","330","Clearbrook Elementary","20","52","55","57","58","50","50"," "," "," "," "," "," "," ","342"," ","342"
"2015-2016","80","Roanoke County","40","Fort Lewis Elementary","10","31","46","39","37","24","41"," "," "," "," "," "," "," ","228"," ","228"
"2015-2016","80","Roanoke County","650","Glen Cove Elementary","15","74","57","82","72","74","56"," "," "," "," "," "," "," ","430"," ","430"
"2015-2016","80","Roanoke County","490","Glenvar Elementary","19","66","53","58","63","66","76"," "," "," "," "," "," "," ","401"," ","401"
"2015-2016","80","Roanoke County","610","Glenvar High"," "," "," "," "," "," "," "," "," "," ","145","136","138","138","557"," ","557"
"2015-2016","80","Roanoke County","751","Glenvar Middle"," "," "," "," "," "," "," ","131","153","146"," "," "," "," ","430"," ","430"
"2015-2016","80","Roanoke County","600","Green Valley Elementary","18","81","88","77","81","78","77"," "," "," "," "," "," "," ","500"," ","500"
"2015-2016","80","Roanoke County","540","Herman L. Horn Elementary","27","72","74","53","65","61","69"," "," "," "," "," "," "," ","421"," ","421"
"2015-2016","80","Roanoke County","754","Hidden Valley High"," "," "," "," "," "," "," "," "," "," ","209","256","245","241","951"," ","951"
"2015-2016","80","Roanoke County","10","Hidden Valley Middle"," "," "," "," "," "," "," ","189","186","220"," "," "," "," ","595"," ","595"
"2015-2016","80","Roanoke County","530","Mason's Cove Elementary","11","29","43","39","40","39","33"," "," "," "," "," "," "," ","234"," ","234"
"2015-2016","80","Roanoke County","290","Mount Pleasant Elementary","14","49","57","67","41","57","57"," "," "," "," "," "," "," ","342"," ","342"
"2015-2016","80","Roanoke County","500","Mountain View Elementary","13","48","58","58","55","78","72"," "," "," "," "," "," "," ","382"," ","382"
"2015-2016","80","Roanoke County","520","Northside High"," "," "," "," "," "," "," "," "," "," ","279","269","237","257","1,042"," ","1,042"
"2015-2016","80","Roanoke County","640","Northside Middle"," "," "," "," "," "," "," ","204","236","239"," "," "," "," ","679"," ","679"
"2015-2016","80","Roanoke County","480","Oak Grove Elementary","20","69","72","75","74","77","73"," "," "," "," "," "," "," ","460"," ","460"
"2015-2016","80","Roanoke County","50","Penn Forest Elementary","19","73","65","79","79","70","88"," "," "," "," "," "," "," ","473"," ","473"
"2015-2016","80","Roanoke County","60","W.E. Cundiff Elementary","27","82","80","100","88","79","85"," "," "," "," "," "," "," ","541"," ","541"
"2015-2016","80","Roanoke County","630","William Byrd High"," "," "," "," "," "," "," "," "," "," ","291","290","260","302","1,143"," ","1,143"
"2015-2016","80","Roanoke County","232","William Byrd Middle"," "," "," "," "," "," "," ","290","248","265"," "," "," "," ","803"," ","803"
"2015-2016","81","Rockbridge County","650","Central Elementary","21","73","82","87","86","75","74"," "," "," "," "," "," "," ","498"," ","498"
"2015-2016","81","Rockbridge County","150","Fairfield Elementary","14","29","45","53","62","50","53"," "," "," "," "," "," "," ","306"," ","306"
"2015-2016","81","Rockbridge County","678","Maury River Middle"," "," "," "," "," "," "," ","214","199","174"," "," "," "," ","587"," ","587"
"2015-2016","81","Rockbridge County","340","Mountain View Elementary"," ","21","26","23","25","17","26"," "," "," "," "," "," "," ","138"," ","138"
"2015-2016","81","Rockbridge County","641","Natural Bridge Elementary","17","38","36","48","51","44","41"," "," "," "," "," "," "," ","275"," ","275"
"2015-2016","81","Rockbridge County","22","Rockbridge County High"," "," "," "," "," "," "," "," "," "," ","266","252","245","249","1,012"," ","1,012"
"2015-2016","82","Rockingham County","870","Broadway High"," "," "," "," "," "," "," "," "," "," ","267","265","264","223","1,019","3","1,022"
"2015-2016","82","Rockingham County","861","Cub Run Elementary","45","86","116","71","81","109","116"," "," "," "," "," "," "," ","624"," ","624"
"2015-2016","82","Rockingham County","391","East Rockingham High"," "," "," "," "," "," "," "," "," "," ","183","169","163","163","678","2","680"
"2015-2016","82","Rockingham County","400","Elkton Elementary","35","63","54","53","55","60","68"," "," "," "," "," "," "," ","388"," ","388"
"2015-2016","82","Rockingham County","900","Elkton Middle"," "," "," "," "," "," "," ","151","144","194"," "," "," "," ","489"," ","489"
"2015-2016","82","Rockingham County","940","Fulks Run Elementary","18","32","23","36","27","25","30"," "," "," "," "," "," "," ","191"," ","191"
"2015-2016","82","Rockingham County","960","J. Frank Hillyard Middle"," "," "," "," "," "," "," ","253","230","275"," "," "," "," ","758"," ","758"
"2015-2016","82","Rockingham County","1071","John C. Myers Elementary","43","81","79","61","85","69","77"," "," "," "," "," "," "," ","495"," ","495"
"2015-2016","82","Rockingham County","970","John W. Wayland Elementary","21","82","95","89","88","94","81"," "," "," "," "," "," "," ","550"," ","550"
"2015-2016","82","Rockingham County","500","Lacey Spring Elementary","27","46","36","31","26","46","33"," "," "," "," "," "," "," ","245"," ","245"
"2015-2016","82","Rockingham County","360","Linville-Edom Elementary","16","25","36","30","30","37","30"," "," "," "," "," "," "," ","204"," ","204"
"2015-2016","82","Rockingham County","600","McGaheysville Elementary","20","51","43","37","39","57","40"," "," "," "," "," "," "," ","287"," ","287"
"2015-2016","82","Rockingham County","860","Montevideo Middle"," "," "," "," "," "," "," ","220","238","226"," "," "," "," ","684"," ","684"
"2015-2016","82","Rockingham County","520","Mountain View Elementary","43","76","81","73","84","73","77"," "," "," "," "," "," "," ","507"," ","507"
"2015-2016","82","Rockingham County","920","Ottobine Elementary","12","35","37","36","33","28","32"," "," "," "," "," "," "," ","213"," ","213"
"2015-2016","82","Rockingham County","1073","Peak View Elementary","20","75","74","67","76","89","75"," "," "," "," "," "," "," ","476"," ","476"
"2015-2016","82","Rockingham County","10","Plains Elementary","43","59","66","78","68","65","59"," "," "," "," "," "," "," ","438"," ","438"
"2015-2016","82","Rockingham County","950","Pleasant Valley Elementary","20","29","38","40","31","28","41"," "," "," "," "," "," "," ","227"," ","227"
"2015-2016","82","Rockingham County","390","River Bend Elementary","26","52","49","63","68","39","63"," "," "," "," "," "," "," ","360"," ","360"
"2015-2016","82","Rockingham County","830","South River Elementary","27","51","56","60","59","54","57"," "," "," "," "," "," "," ","364"," ","364"
"2015-2016","82","Rockingham County","20","Spotswood High"," "," "," "," "," "," "," "," "," "," ","242","213","228","194","877","2","879"
"2015-2016","82","Rockingham County","850","Turner Ashby High"," "," "," "," "," "," "," "," "," "," ","278","285","274","255","1,092","4","1,096"
"2015-2016","82","Rockingham County","890","Wilbur S. Pence Middle"," "," "," "," "," "," "," ","248","218","243"," "," "," "," ","709"," ","709"
"2015-2016","83","Russell County","580","Belfast Elk Garden Elementary"," ","14","15","13","13","14","11"," "," "," "," "," "," "," ","80"," ","80"
"2015-2016","83","Russell County","792","Castlewood Elementary"," "," ","78","65","65","60","76","64","64"," "," "," "," "," ","472"," ","472"
"2015-2016","83","Russell County","791","Castlewood High"," "," "," "," "," "," "," "," "," ","79","71","88","91","90","419"," ","419"
"2015-2016","83","Russell County","820","Copper Creek Elementary","47","65"," "," "," "," "," "," "," "," "," "," "," "," ","112"," ","112"
"2015-2016","83","Russell County","800","Givens Elementary","32","23","17","25"," "," "," "," "," "," "," "," "," "," ","97"," ","97"
"2015-2016","83","Russell County","890","Honaker Elementary","47","66","72","85","68","77","72","67","85"," "," "," "," "," ","639"," ","639"
"2015-2016","83","Russell County","540","Honaker High"," "," "," "," "," "," "," "," "," ","101","87","82","107","92","469"," ","469"
"2015-2016","83","Russell County","410","Lebanon Elementary"," "," "," ","134","120","107"," "," "," "," "," "," "," "," ","361"," ","361"
"2015-2016","83","Russell County","140","Lebanon High"," "," "," "," "," "," "," "," "," ","141","127","125","143","118","654"," ","654"
"2015-2016","83","Russell County","902","Lebanon Middle"," "," "," "," "," "," ","128","105","126"," "," "," "," "," ","359"," ","359"
"2015-2016","83","Russell County","390","Lebanon Primary","77","116","135"," "," "," "," "," "," "," "," "," "," "," ","328"," ","328"
"2015-2016","83","Russell County","710","Swords Creek Elementary"," "," "," "," ","16","14","10","15","17"," "," "," "," "," ","72"," ","72"
"2015-2016","139","Salem City","100","Andrew Lewis Middle"," "," "," "," "," "," "," ","293","296","318"," "," "," "," ","907"," ","907"
"2015-2016","139","Salem City","550","East Salem Elementary","38","75","71","61","76","66","71"," "," "," "," "," "," "," ","458"," ","458"
"2015-2016","139","Salem City","90","G.W. Carver Elementary"," ","72","81","71","87","83","72"," "," "," "," "," "," "," ","466"," ","466"
"2015-2016","139","Salem City","70","Salem High"," "," "," "," "," "," "," "," "," "," ","328","319","265","269","1,181"," ","1,181"
"2015-2016","139","Salem City","580","South Salem Elementary"," ","59","73","69","62","61","75"," "," "," "," "," "," "," ","399"," ","399"
"2015-2016","139","Salem City","460","West Salem Elementary"," ","56","87","59","66","65","64"," "," "," "," "," "," "," ","397"," ","397"
"2015-2016","84","Scott County","750","Duffield-Pattonsville Primary","59","55","81","58","63","67"," "," "," "," "," "," "," "," ","383"," ","383"
"2015-2016","84","Scott County","42","Dungannon Intermediate"," "," "," "," "," ","13","13","22","13"," "," "," "," "," ","61"," ","61"
"2015-2016","84","Scott County","102","Fort Blackmore Primary","17","17","21","28","13"," "," "," "," "," "," "," "," "," ","96"," ","96"
"2015-2016","84","Scott County","770","Gate City High"," "," "," "," "," "," "," "," "," "," "," ","167","168","157","492"," ","492"
"2015-2016","84","Scott County","771","Gate City Middle"," "," "," "," "," "," "," "," ","161","157","183"," "," "," ","501"," ","501"
"2015-2016","84","Scott County","670","Hilton Elementary","17","30","20","12","21","21","23","25"," "," "," "," "," "," ","169"," ","169"
"2015-2016","84","Scott County","220","Nickelsville Elementary","36","31","29","39","28","32","29","34","28"," "," "," "," "," ","286"," ","286"
"2015-2016","84","Scott County","260","Rye Cove High"," "," "," "," "," "," "," "," "," ","53","64","63","52","57","289"," ","289"
"2015-2016","84","Scott County","20","Rye Cove Intermediate"," "," "," "," "," "," ","54","52","47"," "," "," "," "," ","153"," ","153"
"2015-2016","84","Scott County","641","Shoemaker Elementary","104","87","82","61","73","76","80","62"," "," "," "," "," "," ","625"," ","625"
"2015-2016","84","Scott County","780","Twin Springs High"," "," "," "," "," "," "," "," "," ","44","42","58","52","57","253"," ","253"
"2015-2016","84","Scott County","740","Weber City Elementary","32","53","51","42","38","35","44","45"," "," "," "," "," "," ","340"," ","340"
"2015-2016","84","Scott County","790","Yuma Elementary"," ","22","24","23","17","37","23","23"," "," "," "," "," "," ","169"," ","169"
"2015-2016","85","Shenandoah County","820","Ashby Lee Elementary","45","83","100","99","101","80","97"," "," "," "," "," "," "," ","605"," ","605"
"2015-2016","85","Shenandoah County","780","Central High"," "," "," "," "," "," "," "," "," "," ","213","204","183","190","790"," ","790"
"2015-2016","85","Shenandoah County","40","North Fork Middle"," "," "," "," "," "," "," ","96","117","102"," "," "," "," ","315"," ","315"
"2015-2016","85","Shenandoah County","30","Peter Muhlenberg Middle"," "," "," "," "," "," "," ","187","192","218"," "," "," "," ","597"," ","597"
"2015-2016","85","Shenandoah County","810","Sandy Hook Elementary","33","145","144","166","157","152","135"," "," "," "," "," "," "," ","932"," ","932"
"2015-2016","85","Shenandoah County","50","Signal Knob Middle"," "," "," "," "," "," "," ","174","171","168"," "," "," "," ","513"," ","513"
"2015-2016","85","Shenandoah County","790","Stonewall Jackson High"," "," "," "," "," "," "," "," "," "," ","119","122","112","95","448"," ","448"
"2015-2016","85","Shenandoah County","770","Strasburg High"," "," "," "," "," "," "," "," "," "," ","167","150","157","152","626"," ","626"
"2015-2016","85","Shenandoah County","20","W.W. Robinson Elementary","66","182","182","210","201","216","189"," "," "," "," "," "," "," ","1,246"," ","1,246"
"2015-2016","86","Smyth County","290","Atkins Elementary","16","28","37","27","29","27","34"," "," "," "," "," "," "," ","198"," ","198"
"2015-2016","86","Smyth County","730","Chilhowie Elementary","34","93","82","91","101","102","96"," "," "," "," "," "," "," ","599"," ","599"
"2015-2016","86","Smyth County","460","Chilhowie High"," "," "," "," "," "," "," "," "," "," ","115","90","116","106","427"," ","427"
"2015-2016","86","Smyth County","851","Chilhowie Middle"," "," "," "," "," "," "," ","106","110","95"," "," "," "," ","311"," ","311"
"2015-2016","86","Smyth County","710","Marion Elementary","16","44","43","65","82","57","69"," "," "," "," "," "," "," ","376"," ","376"
"2015-2016","86","Smyth County","680","Marion Middle"," "," "," "," "," "," "," ","168","176","163"," "," "," "," ","507"," ","507"
"2015-2016","86","Smyth County","700","Marion Senior High"," "," "," "," "," "," "," "," "," "," ","194","187","176","132","689"," ","689"
"2015-2016","86","Smyth County","250","Northwood High"," "," "," "," "," "," "," "," "," "," ","84","69","70","64","287"," ","287"
"2015-2016","86","Smyth County","120","Northwood Middle"," "," "," "," "," "," "," ","63","72","74"," "," "," "," ","209"," ","209"
"2015-2016","86","Smyth County","690","Oak Point Elementary","39","59","75","79","84","56","72"," "," "," "," "," "," "," ","464","1","465"
"2015-2016","86","Smyth County","720","Rich Valley Elementary","15","24","21","25","29","25","25"," "," "," "," "," "," "," ","164"," ","164"
"2015-2016","86","Smyth County","740","Saltville Elementary","18","27","33","33","38","34","42"," "," "," "," "," "," "," ","225"," ","225"
"2015-2016","86","Smyth County","555","Sugar Grove Elementary","13","18","17","20","28","26","16"," "," "," "," "," "," "," ","138"," ","138"
"2015-2016","87","Southampton County","710","Capron Elementary","16","26","29","35","21","34","31"," "," "," "," "," "," "," ","192"," ","192"
"2015-2016","87","Southampton County","20","Meherrin Elementary","29","44","49","58","53","40","49"," "," "," "," "," "," "," ","322"," ","322"
"2015-2016","87","Southampton County","10","Nottoway Elementary","31","46","37","52","49","41","41"," "," "," "," "," "," "," ","297"," ","297"
"2015-2016","87","Southampton County","780","Riverdale Elementary","51","80","71","85","106","79","77"," "," "," "," "," "," "," ","549"," ","549"
"2015-2016","87","Southampton County","690","Southampton High"," "," "," "," "," "," "," "," "," "," ","246","216","173","176","811"," ","811"
"2015-2016","87","Southampton County","700","Southampton Middle"," "," "," "," "," "," "," ","204","223","195"," "," "," "," ","622"," ","622"
"2015-2016","88","Spotsylvania County","10","Battlefield Elementary","5","99","87","130","111","103","111"," "," "," "," "," "," "," ","646"," ","646"
"2015-2016","88","Spotsylvania County","50","Battlefield Middle"," "," "," "," "," "," "," ","264","262","291"," "," "," "," ","817"," ","817"
"2015-2016","88","Spotsylvania County","340","Berkeley Elementary","1","43","34","48","35","53","41"," "," "," "," "," "," "," ","255"," ","255"
"2015-2016","88","Spotsylvania County","400","Brock Road Elementary","32","107","109","120","110","113","122"," "," "," "," "," "," "," ","713"," ","713"
"2015-2016","88","Spotsylvania County","511","Cedar Forest Elementary","54","98","109","105","131","102","129"," "," "," "," "," "," "," ","728"," ","728"
"2015-2016","88","Spotsylvania County","40","Chancellor Elementary","14","58","59","77","73","66","75"," "," "," "," "," "," "," ","422"," ","422"
"2015-2016","88","Spotsylvania County","381","Chancellor High"," "," "," "," "," "," "," "," "," "," ","365","312","296","338","1,311"," ","1,311"
"2015-2016","88","Spotsylvania County","382","Chancellor Middle"," "," "," "," "," "," "," ","293","261","270"," "," "," "," ","824"," ","824"
"2015-2016","88","Spotsylvania County","501","Courthouse Road Elementary","17","128","133","125","128","134","164"," "," "," "," "," "," "," ","829"," ","829"
"2015-2016","88","Spotsylvania County","22","Courtland Elementary","24","73","78","91","100","91","107"," "," "," "," "," "," "," ","564"," ","564"
"2015-2016","88","Spotsylvania County","20","Courtland High"," "," "," "," "," "," "," "," "," "," ","304","296","258","321","1,179"," ","1,179"
"2015-2016","88","Spotsylvania County","509","Freedom Middle"," "," "," "," "," "," "," ","266","260","298"," "," "," "," ","824"," ","824"
"2015-2016","88","Spotsylvania County","507","Harrison Road Elementary","41","125","124","130","133","133","115"," "," "," "," "," "," "," ","801"," ","801"
"2015-2016","88","Spotsylvania County","30","Lee Hill Elementary","1","92","106","126","104","105","113"," "," "," "," "," "," "," ","647"," ","647"
"2015-2016","88","Spotsylvania County","350","Livingston Elementary","24","67","55","72","62","76","77"," "," "," "," "," "," "," ","433"," ","433"
"2015-2016","88","Spotsylvania County","506","Massaponax High"," "," "," "," "," "," "," "," "," "," ","539","506","492","430","1,967"," ","1,967"
"2015-2016","88","Spotsylvania County","505","Ni River Middle"," "," "," "," "," "," "," ","230","270","245"," "," "," "," ","745"," ","745"
"2015-2016","88","Spotsylvania County","508","Parkside Elementary","9","112","113","126","141","122","142"," "," "," "," "," "," "," ","765"," ","765"
"2015-2016","88","Spotsylvania County","220","Post Oak Middle"," "," "," "," "," "," "," ","237","246","264"," "," "," "," ","747"," ","747"
"2015-2016","88","Spotsylvania County","510","Riverbend High"," "," "," "," "," "," "," "," "," "," ","486","511","451","487","1,935"," ","1,935"
"2015-2016","88","Spotsylvania County","503","Riverview Elementary","78","90","99","110","109","113","118"," "," "," "," "," "," "," ","717"," ","717"
"2015-2016","88","Spotsylvania County","130","Robert E. Lee Elementary","23","83","84","81","97","67","83"," "," "," "," "," "," "," ","518"," ","518"
"2015-2016","88","Spotsylvania County","60","Salem Elementary","43","88","120","114","108","108","96"," "," "," "," "," "," "," ","677"," ","677"
"2015-2016","88","Spotsylvania County","390","Smith Station Elementary","7","107","90","126","139","126","121"," "," "," "," "," "," "," ","716"," ","716"
"2015-2016","88","Spotsylvania County","360","Spotswood Elementary","10","89","99","80","90","81","86"," "," "," "," "," "," "," ","535"," ","535"
"2015-2016","88","Spotsylvania County","370","Spotsylvania High"," "," "," "," "," "," "," "," "," "," ","321","300","277","278","1,176"," ","1,176"
"2015-2016","88","Spotsylvania County","330","Spotsylvania Middle"," "," "," "," "," "," "," ","259","261","279"," "," "," "," ","799"," ","799"
"2015-2016","88","Spotsylvania County","502","Thornburg Middle"," "," "," "," "," "," "," ","235","254","219"," "," "," "," ","708"," ","708"
"2015-2016","88","Spotsylvania County","504","Wilderness Elementary","41","103","113","113","130","122","111"," "," "," "," "," "," "," ","733"," ","733"
"2015-2016","89","Stafford County","40","Andrew G. Wright Middle"," "," "," "," "," "," "," ","316","275","307"," "," "," "," ","898"," ","898"
"2015-2016","89","Stafford County","260","Anne E. Moncure Elementary","13","123","124","121","106","129","124"," "," "," "," "," "," "," ","740","15","755"
"2015-2016","89","Stafford County","433","Anthony Burns Elementary","25","111","138","131","136","120","134"," "," "," "," "," "," "," ","795"," ","795"
"2015-2016","89","Stafford County","421","Brooke Point High"," "," "," "," "," "," "," "," "," "," ","449","462","440","443","1,794"," ","1,794"
"2015-2016","89","Stafford County","424","Colonial Forge High"," "," "," "," "," "," "," "," "," "," ","538","516","494","497","2,045","2","2,047"
"2015-2016","89","Stafford County","431","Conway Elementary","24","109","124","143","119","145","130"," "," "," "," "," "," "," ","794","11","805"
"2015-2016","89","Stafford County","432","Donald B. Dixon-Lyle R. Smith Middle"," "," "," "," "," "," "," ","268","262","247"," "," "," "," ","777"," ","777"
"2015-2016","89","Stafford County","10","Edward E. Drew Jr. Middle"," "," "," "," "," "," "," ","179","206","178"," "," "," "," ","563"," ","563"
"2015-2016","89","Stafford County","280","Falmouth Elementary","23","96","92","79","101","93","72"," "," "," "," "," "," "," ","556","2","558"
"2015-2016","89","Stafford County","230","Ferry Farm Elementary","11","101","114","95","110","102","98"," "," "," "," "," "," "," ","631","5","636"
"2015-2016","89","Stafford County","41","Garrisonville Elementary","8","87","97","86","102","99","95"," "," "," "," "," "," "," ","574","13","587"
"2015-2016","89","Stafford County","270","Grafton Village Elementary","8","95","106","95","90","92","117"," "," "," "," "," "," "," ","603","21","624"
"2015-2016","89","Stafford County","422","H.H. Poole Middle"," "," "," "," "," "," "," ","267","268","258"," "," "," "," ","793","3","796"
"2015-2016","89","Stafford County","320","Hampton Oaks Elementary","50","127","128","111","143","123","107"," "," "," "," "," "," "," ","789","1","790"
"2015-2016","89","Stafford County","250","Hartwood Elementary","32","72","89","104","101","92","76"," "," "," "," "," "," "," ","566","16","582"
"2015-2016","89","Stafford County","427","Kate Waller Barrett Elementary","34","118","118","148","123","128","121"," "," "," "," "," "," "," ","790","4","794"
"2015-2016","89","Stafford County","429","Margaret Brent Elementary","14","124","124","155","158","134","161"," "," "," "," "," "," "," ","870","8","878"
"2015-2016","89","Stafford County","430","Mountain View High"," "," "," "," "," "," "," "," "," "," ","373","417","459","440","1,689","3","1,692"
"2015-2016","89","Stafford County","30","North Stafford High"," "," "," "," "," "," "," "," "," "," ","411","460","407","421","1,699"," ","1,699"
"2015-2016","89","Stafford County","300","Park Ridge Elementary","11","117","100","128","126","151","118"," "," "," "," "," "," "," ","751","35","786"
"2015-2016","89","Stafford County","60","Rockhill Elementary","4","73","96","90","97","108","90"," "," "," "," "," "," "," ","558","32","590"
"2015-2016","89","Stafford County","425","Rocky Run Elementary","28","152","135","148","137","138","139"," "," "," "," "," "," "," ","877","8","885"
"2015-2016","89","Stafford County","426","Rodney E. Thompson Middle"," "," "," "," "," "," "," ","275","340","335"," "," "," "," ","950","3","953"
"2015-2016","89","Stafford County","440","Shirley C. Heim Middle"," "," "," "," "," "," "," ","273","290","275"," "," "," "," ","838","3","841"
"2015-2016","89","Stafford County","111","Stafford Elementary","14","107","101","127","117","128","129"," "," "," "," "," "," "," ","723","17","740"
"2015-2016","89","Stafford County","112","Stafford Middle"," "," "," "," "," "," "," ","262","274","244"," "," "," "," ","780"," ","780"
"2015-2016","89","Stafford County","20","Stafford Senior High"," "," "," "," "," "," "," "," "," "," ","522","509","459","460","1,950"," ","1,950"
"2015-2016","89","Stafford County","162","T. Benton Gayle Middle"," "," "," "," "," "," "," ","291","273","322"," "," "," "," ","886"," ","886"
"2015-2016","89","Stafford County","50","Widewater Elementary","21","107","135","129","137","137","116"," "," "," "," "," "," "," ","782","19","801"
"2015-2016","89","Stafford County","423","Winding Creek Elementary","11","109","109","126","145","146","134"," "," "," "," "," "," "," ","780","36","816"
"2015-2016","126","Staunton City","40","Arthur R. Ware Elementary"," ","67","69","75","63","76","78"," "," "," "," "," "," "," ","428"," ","428"
"2015-2016","126","Staunton City","70","Bessie Weller Elementary"," ","63","58","72","63","72","76"," "," "," "," "," "," "," ","404"," ","404"
"2015-2016","126","Staunton City","30","Robert E. Lee High"," "," "," "," "," "," "," "," "," "," ","183","198","178","192","751"," ","751"
