"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","136","Chesapeake City","660","Deep Creek Central Elementary","543"," ","543"
"2010-2011","136","Chesapeake City","210","Deep Creek Elementary","687"," ","687"
"2010-2011","136","Chesapeake City","100","Deep Creek High","1,316"," ","1,316"
"2010-2011","136","Chesapeake City","610","Deep Creek Middle","470"," ","470"
"2010-2011","136","Chesapeake City","640","Edwin W. Chittum Elementary","717"," ","717"
"2010-2011","136","Chesapeake City","720","G.A. Treakle Elementary","507"," ","507"
"2010-2011","136","Chesapeake City","50","George W. Carver Intermediate","566"," ","566"
"2010-2011","136","Chesapeake City","820","Georgetown Primary","811"," ","811"
"2010-2011","136","Chesapeake City","950","Grassfield Elementary","888","1","889"
"2010-2011","136","Chesapeake City","960","Grassfield High","2,106"," ","2,106"
"2010-2011","136","Chesapeake City","120","Great Bridge High","1,673","1","1,674"
"2010-2011","136","Chesapeake City","850","Great Bridge Intermediate","574","1","575"
"2010-2011","136","Chesapeake City","590","Great Bridge Middle","1,171"," ","1,171"
"2010-2011","136","Chesapeake City","680","Great Bridge Primary","566","1","567"
"2010-2011","136","Chesapeake City","870","Greenbrier Intermediate","640"," ","640"
"2010-2011","136","Chesapeake City","972","Greenbrier Middle","906"," ","906"
"2010-2011","136","Chesapeake City","140","Greenbrier Primary","632","2","634"
"2010-2011","136","Chesapeake City","340","Hickory Elementary","419"," ","419"
"2010-2011","136","Chesapeake City","890","Hickory High","1,922"," ","1,922"
"2010-2011","136","Chesapeake City","280","Hickory Middle","1,713","1","1,714"
"2010-2011","136","Chesapeake City","920","Hugo A. Owens Middle","1,082"," ","1,082"
"2010-2011","136","Chesapeake City","830","Indian River High","1,721"," ","1,721"
"2010-2011","136","Chesapeake City","710","Indian River Middle","761"," ","761"
"2010-2011","136","Chesapeake City","973","Jolliff Middle","716"," ","716"
"2010-2011","136","Chesapeake City","160","Norfolk Highlands Primary","333"," ","333"
"2010-2011","136","Chesapeake City","80","Oscar F. Smith High","2,177","1","2,178"
"2010-2011","136","Chesapeake City","10","Oscar Smith Middle","966","1","967"
"2010-2011","136","Chesapeake City","730","Portlock Primary","558"," ","558"
"2010-2011","136","Chesapeake City","200","Rena B. Wright Primary","316"," ","316"
"2010-2011","136","Chesapeake City","620","Southeastern Elementary","740"," ","740"
"2010-2011","136","Chesapeake City","600","Southwestern Elementary","606"," ","606"
"2010-2011","136","Chesapeake City","750","Sparrow Road Intermediate","473"," ","473"
"2010-2011","136","Chesapeake City","40","Thurgood Marshall Elementary","544"," ","544"
"2010-2011","136","Chesapeake City","971","Truitt Intermediate","287","1","288"
"2010-2011","136","Chesapeake City","840","Western Branch High","2,231"," ","2,231"
"2010-2011","136","Chesapeake City","810","Western Branch Intermediate","781"," ","781"
"2010-2011","136","Chesapeake City","740","Western Branch Middle","892"," ","892"
"2010-2011","136","Chesapeake City","110","Western Branch Primary","664","1","665"
"2010-2011","21","Chesterfield County","620","A.M. Davis Elementary","677"," ","677"
"2010-2011","21","Chesterfield County","861","Alberta Smith Elementary","701","2","703"
"2010-2011","21","Chesterfield County","631","Bailey Bridge Middle","1,426","1","1,427"
"2010-2011","21","Chesterfield County","660","Bellwood Elementary","440","5","445"
"2010-2011","21","Chesterfield County","430","Bensley Elementary","663"," ","663"
"2010-2011","21","Chesterfield County","510","Bettie Weaver Elementary","801"," ","801"
"2010-2011","21","Chesterfield County","130","Beulah Elementary","584"," ","584"
"2010-2011","21","Chesterfield County","20","Bon Air Elementary","566"," ","566"
"2010-2011","21","Chesterfield County","50","C.C. Wells Elementary","698"," ","698"
"2010-2011","21","Chesterfield County","492","C.E. Curtis Elementary","714"," ","714"
"2010-2011","21","Chesterfield County","420","Carver Middle","1,122","1","1,123"
"2010-2011","21","Chesterfield County","30","Chesterfield Community High","366","3","369"
"2010-2011","21","Chesterfield County","150","Clover Hill Elementary","845"," ","845"
"2010-2011","21","Chesterfield County","740","Clover Hill High","1,767","3","1,770"
"2010-2011","21","Chesterfield County","840","Cosby High","2,079","2","2,081"
"2010-2011","21","Chesterfield County","560","Crestwood Elementary","551"," ","551"
"2010-2011","21","Chesterfield County","480","Ecoff Elementary","759"," ","759"
"2010-2011","21","Chesterfield County","870","Elizabeth Davis Middle","1,165"," ","1,165"
"2010-2011","21","Chesterfield County","850","Elizabeth Scott Elementary","883"," ","883"
"2010-2011","21","Chesterfield County","390","Enon Elementary","508"," ","508"
"2010-2011","21","Chesterfield County","350","Ettrick Elementary","550"," ","550"
"2010-2011","21","Chesterfield County","300","Evergreen Elementary","997"," ","997"
"2010-2011","21","Chesterfield County","590","Falling Creek Elementary","639"," ","639"
"2010-2011","21","Chesterfield County","670","Falling Creek Middle","1,181"," ","1,181"
"2010-2011","21","Chesterfield County","180","Grange Hall Elementary","750"," ","750"
"2010-2011","21","Chesterfield County","70","Greenfield Elementary","607"," ","607"
"2010-2011","21","Chesterfield County","460","Harrowgate Elementary","492"," ","492"
"2010-2011","21","Chesterfield County","60","Hopkins Road Elementary","574"," ","574"
"2010-2011","21","Chesterfield County","550","J.A. Chalkley Elementary","778","4","782"
"2010-2011","21","Chesterfield County","650","J.B. Watkins Elementary","995"," ","995"
"2010-2011","21","Chesterfield County","500","J.G. Hening Elementary","812"," ","812"
"2010-2011","21","Chesterfield County","400","Jacobs Road Elementary","732","1","733"
"2010-2011","21","Chesterfield County","770","James River High","2,092","3","2,095"
"2010-2011","21","Chesterfield County","10","Lloyd C. Bird High","1,811","3","1,814"
"2010-2011","21","Chesterfield County","632","Manchester High","1,854","2","1,856"
"2010-2011","21","Chesterfield County","600","Manchester Middle","1,426"," ","1,426"
"2010-2011","21","Chesterfield County","780","Marguerite F. Christian Elementary","712"," ","712"
"2010-2011","21","Chesterfield County","370","Matoaca Elementary","480"," ","480"
"2010-2011","21","Chesterfield County","530","Matoaca High","1,836","3","1,839"
"2010-2011","21","Chesterfield County","110","Matoaca Middle","1,107"," ","1,107"
"2010-2011","21","Chesterfield County","580","Meadowbrook High","1,767","1","1,768"
"2010-2011","21","Chesterfield County","320","Midlothian High","1,468","2","1,470"
"2010-2011","21","Chesterfield County","40","Midlothian Middle","1,180","1","1,181"
"2010-2011","21","Chesterfield County","280","Monacan High","1,441","1","1,442"
"2010-2011","21","Chesterfield County","360","O.B. Gates Elementary","811"," ","811"
"2010-2011","21","Chesterfield County","380","Providence Elementary","668"," ","668"
"2010-2011","21","Chesterfield County","690","Providence Middle","864"," ","864"
"2010-2011","21","Chesterfield County","700","Reams Road Elementary","539"," ","539"
"2010-2011","21","Chesterfield County","730","Robious Elementary","674"," ","674"
"2010-2011","21","Chesterfield County","760","Robious Middle","1,324"," ","1,324"
"2010-2011","21","Chesterfield County","720","Salem Church Elementary","625"," ","625"
"2010-2011","21","Chesterfield County","722","Salem Church Middle","857","1","858"
"2010-2011","21","Chesterfield County","864","Specialized Programs - Headstart","180"," ","180"
"2010-2011","21","Chesterfield County","800","Spring Run Elementary","806"," ","806"
"2010-2011","21","Chesterfield County","340","Swift Creek Elementary","811"," ","811"
"2010-2011","21","Chesterfield County","270","Swift Creek Middle","974"," ","974"
"2010-2011","21","Chesterfield County","410","Thelma Crenshaw Elementary","729"," ","729"
"2010-2011","21","Chesterfield County","610","Thomas Dale High","2,393","4","2,397"
"2010-2011","21","Chesterfield County","880","Tomahawk Creek Middle","1,155","2","1,157"
"2010-2011","21","Chesterfield County","290","W.W. Gordon Elementary","648"," ","648"
"2010-2011","21","Chesterfield County","860","Winterpock Elementary","800"," ","800"
"2010-2011","21","Chesterfield County","440","Woolridge Elementary","789","1","790"
